snr_dB,p_fa,p_md
10.0,0.0002555097090352507,0.6227210649817542
10.0,0.00025847135074695635,0.6215455189048604
10.0,0.0002614673211801092,0.6203679250141394
10.0,0.000264498018242772,0.6191882887871261
10.0,0.0002675638444552045,0.6180066157627803
10.0,0.0002706652070033241,0.6168229115417527
10.0,0.00027380251779278577,0.615637181786469
10.0,0.0002769761935036891,0.6144494322212353
10.0,0.00028018665564591953,0.6132596686325448
10.0,0.0002834343306151309,0.6120678968691169
10.0,0.00028671964974937697,0.6108741228421831
10.0,0.0002900430493863992,0.6096783525253949
10.0,0.0002934049709215787,0.6084805919552627
10.0,0.00029680586086656025,0.607280847231106
10.0,0.00030024617090855494,0.6060791245153284
10.0,0.00030372635797033115,0.6048754300334287
10.0,0.0003072468842709003,0.6036697700743975
10.0,0.00031080821738690636,0.602462150990481
10.0,0.00031441083031472647,0.6012525791977592
10.0,0.000318055201533292,0.6000410611759032
10.0,0.00032174181506763714,0.5988276034685942
10.0,0.0003254711605531848,0.5976122126835168
10.0,0.0003292437333007769,0.5963948954925264
10.0,0.0003330600343624589,0.5951756586318374
10.0,0.0003369205705980267,0.5939545089021417
10.0,0.0003408258547423452,0.5927314531685737
10.0,0.0003447764054734464,0.5915064983611771
10.0,0.00034877274748141776,0.590279651474733
10.0,0.0003528154115380883,0.5890509195690541
10.0,0.000356904934567523,0.5878203097690069
10.0,0.0003610418597173337,0.5865878292647494
10.0,0.00036522673643081755,0.5853534853117461
10.0,0.00036946012051993025,0.5841172852309673
10.0,0.0003737425742391064,0.5828792364090363
10.0,0.0003780746663599349,0.5816393462981426
10.0,0.0003824569722466999,0.5803976224164954
10.0,0.0003868900739327976,0.5791540723481249
10.0,0.0003913745601980384,0.5779087037431662
10.0,0.00039591102664684585,0.5766615243179164
10.0,0.0004005000757873611,0.5754125418549629
10.0,0.00040514231711146474,0.5741617642033408
10.0,0.0004098383671757261,0.5729091992784625
10.0,0.00041458884968329114,0.571654855062421
10.0,0.0004193943955667186,0.5703987396040051
10.0,0.0004242556430717777,0.5691408610187881
10.0,0.00042917323784221574,0.567881227489277
10.0,0.00043414783300550926,0.5666198472649002
10.0,0.0004391800892596086,0.5653567286622796
10.0,0.0004442706749606883,0.5640918800651138
10.0,0.00044942026621191424,0.5628253099244435
10.0,0.00045462954695323993,0.5615570267586277
10.0,0.00045989920905224383,0.5602870391534897
10.0,0.00046522995239601893,0.5590153557623616
10.0,0.00047062248498412813,0.5577419853062537
10.0,0.0004760775230226368,0.5564669365737477
10.0,0.00048159579101923506,0.555190218421254
10.0,0.0004871780218794631,0.5539118397730483
10.0,0.0004928249570040513,0.5526318096212667
10.0,0.0004985373463873893,0.5513501370260696
10.0,0.0005043159487171359,0.5500668311156203
10.0,0.0005101615314749834,0.548781901086236
10.0,0.0005160748710385908,0.5474953562024105
10.0,0.0005220567527846976,0.5462072057968381
10.0,0.0005281079711934331,0.5449174592705874
10.0,0.0005342293299538352,0.5436261260930007
10.0,0.0005404216420705915,0.5423332158018955
10.0,0.000546685729972018,0.5410387380035188
10.0,0.00055302242561929,0.5397427023726127
10.0,0.0005594325706169377,0.538445118652516
10.0,0.0005659170163246243,0.5371459966551768
10.0,0.0005724766239702179,0.5358453462611192
10.0,0.0005791122647641759,0.5345431774196211
10.0,0.0005858248200152536,0.5332395001486456
10.0,0.0005926151812475553,0.5319343245349264
10.0,0.0005994842503189409,0.5306276607339648
10.0,0.0006064329395408061,0.5293195189701247
10.0,0.0006134621717992507,0.5280099095365363
10.0,0.0006205728806776501,0.5266988427952697
10.0,0.00062776601058065,0.5253863291772302
10.0,0.0006350425168595962,0.5240723791822701
10.0,0.0006424033659394191,0.5227570033791468
10.0,0.0006498495354469888,0.5214402124055529
10.0,0.0006573820143409585,0.5201220169681231
10.0,0.0006650018030431119,0.5188024278424604
10.0,0.0006727099135712337,0.5174814558730968
10.0,0.0006805073696735206,0.5161591119735881
10.0,0.0006883952069645496,0.5148354071263919
10.0,0.0006963744730628222,0.513510352382938
10.0,0.0007044462277299037,0.5121839588636278
10.0,0.0007126115430111746,0.5108562377578013
10.0,0.0007208715033782136,0.5095272003237145
10.0,0.0007292272058728313,0.5081968578885351
10.0,0.000737679760252773,0.5068652218483801
10.0,0.0007462302891391107,0.5055323036681678
10.0,0.0007548799281653432,0.5041981148817312
10.0,0.0007636298261282241,0.5028626670917142
10.0,0.0007724811451403401,0.5015259719695339
10.0,0.0007814350607844542,0.5001880412554289
10.0,0.000790492762269642,0.4988488867583028
10.0,0.0007996554525892347,0.4975085203557894
10.0,0.0008089243486805938,0.4961669539941518
10.0,0.000818300681586739,0.4948241996882954
10.0,0.0008277856966198472,0.49348026952161983
