AMP_convergence_fraction,EbN0_dB,J,Ka,Pe_mean,Pe_median,Pe_standard_error,allocation,elapsed_seconds,mean_AMP_iterations,mean_final_list_size,missing_users,oversized_list_fraction,transmitted_users,tree_overflow_fraction,trials
0.86,4.0,15,300,0.9993666666666666,1.0,0.00013142574813455283,power_allocated,12.921494245529175,84.32,0.22,29981,0.0,30000,0.0,100
0.35,4.25,15,300,0.9989,1.0,0.00018383005864155332,power_allocated,19.345049619674683,97.16,0.38,29967,0.0,30000,0.0,100
0.01,4.5,15,300,0.9982333333333334,1.0,0.00024824863536526893,power_allocated,18.57252025604248,99.93,0.55,29947,0.0,30000,0.0,100
0.0,4.75,15,300,0.9954000000000002,0.9966666666666667,0.00045635554296372463,power_allocated,24.089020252227783,100.0,1.41,29862,0.0,30000,0.0,100
0.21,5.0,15,300,0.7175333333333334,0.9866666666666667,0.04348537481350662,power_allocated,18.33172869682312,95.78,85.61,21526,0.03,30000,0.0,100
0.88,5.25,15,300,0.031066666666666666,0.013333333333333334,0.0112464365225465,power_allocated,18.39616084098816,63.56,294.35,932,0.52,30000,0.0,100
0.63,5.125,15,300,0.2545333333333333,0.02,0.04147698292105449,power_allocated,19.125422954559326,81.39,226.3,7636,0.23,30000,0.0,100
0.8,5.1875,15,300,0.11143333333333331,0.016666666666666666,0.028771020422668648,power_allocated,13.103853940963745,71.3,269.69,3343,0.35,30000,0.0,100
0.83,5.21875,15,300,0.07326666666666667,0.013333333333333334,0.02293229090889016,power_allocated,18.09047508239746,67.33,281.4,2198,0.43,30000,0.0,100
1.0,2.0,20,50,0.24360000000000004,0.24,0.007199214323013787,flat,26.847869634628296,19.26,37.82,1218,0.0,5000,0.0,100
1.0,2.25,20,50,0.1548,0.16,0.00576033107914937,flat,25.25577449798584,18.15,42.26,774,0.0,5000,0.0,100
1.0,2.5,20,50,0.0922,0.08,0.0045295438707189575,flat,24.14004349708557,17.02,45.39,461,0.0,5000,0.0,100
