S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
1.250401606425703083e+00,-7.300000000001123368e-01,9.767934158821846014e-01,6.605302484296369414e+01,3.277852787148595235e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.260240963855421947e+00,-7.300000000001123368e-01,9.765817847589546297e-01,6.603871385804819738e+01,3.303646072289157019e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.270080321285140812e+00,-7.300000000001123368e-01,9.763695783329642275e-01,6.602436396983245004e+01,3.329439357429719530e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.279919678714859677e+00,-7.300000000001123368e-01,9.761570573726106037e-01,6.600999281207725744e+01,3.355232642570282042e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.289759036144578541e+00,-7.300000000001123368e-01,9.759438346328462854e-01,6.599557419837886130e+01,3.381025927710843825e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.299598393574297406e+00,-7.300000000001123368e-01,9.757301633602100122e-01,6.598112525385262472e+01,3.406819212851406337e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.309437751004016270e+00,-7.300000000001123368e-01,9.755160807876841478e-01,6.596664849627873650e+01,3.432612497991968121e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.319277108433735135e+00,-7.300000000001123368e-01,9.753015411128169720e-01,6.595214082838971592e+01,3.458405783132530632e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.329116465863454000e+00,-7.300000000001123368e-01,9.750863458307050813e-01,6.593758882682591604e+01,3.484199068273093144e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.338955823293172864e+00,-7.300000000001123368e-01,9.748707596949169885e-01,6.592301039483459135e+01,3.509992353413654928e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.348795180722891729e+00,-7.300000000001123368e-01,9.746547882865609358e-01,6.590840590982317337e+01,3.535785638554217439e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.358634538152610594e+00,-7.200000000001125500e-01,9.748262858382159557e-01,6.607196427095777835e+01,3.561578923694779223e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.368473895582329458e+00,-7.200000000001125500e-01,9.746118204118336958e-01,6.605742819186846759e+01,3.587372208835341735e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.378313253012048323e+00,-7.200000000001125500e-01,9.743969564130557925e-01,6.604286509826233953e+01,3.613165493975904246e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.388152610441767187e+00,-7.200000000001125500e-01,9.741816109426288950e-01,6.602826937137781727e+01,3.638958779116466030e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.397991967871486052e+00,-7.200000000001125500e-01,9.739657174430492725e-01,6.601363650006751982e+01,3.664752064257028542e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.407831325301205139e+00,-7.200000000001125500e-01,9.737490322062515302e-01,6.599894996623915233e+01,3.690545349397591053e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.417670682730924003e+00,-7.200000000001125500e-01,9.735322777724275678e-01,6.598425874236137645e+01,3.716338634538153565e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.427510040160642868e+00,-7.200000000001125500e-01,9.733150671687142985e-01,6.596953660011274678e+01,3.742131919678715349e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.437349397590361733e+00,-7.200000000001125500e-01,9.730970410297588025e-01,6.595475918235895563e+01,3.767925204819277860e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
