eta,g_Popt,g_Palg,g_Pstar,g_mixture,G_Popt,G_Palg,G_Pstar,G_mixture
6.191329720716965551e-02,-1.064980794495521366e+01,-9.245336136147166428e+00,-6.949611640795012590e+00,-9.937480386204880389e+00,4.575990012831410159e-01,5.341739958932196775e-01,6.864046090776991793e-01,5.016465400165415200e-01
6.227594831179658619e-02,-1.055616904032900294e+01,-9.152704219008075626e+00,-6.861958458271089967e+00,-9.844993797418691628e+00,4.537538157939376982e-01,5.308379610643357838e-01,6.839002185011697765e-01,4.980594719590690778e-01
6.263859941642350992e-02,-1.046362501149015856e+01,-9.061181331303147957e+00,-6.775468002381002108e+00,-9.753615146437088157e+00,4.499423900279763133e-01,5.275353182071513825e-01,6.814274046160578857e-01,4.945057433677488845e-01
6.300125052105043366e-02,-1.037215710517054745e+01,-8.970748799529140172e+00,-6.690121497361399605e+00,-9.663325675661358360e+00,4.461643303277899042e-01,5.242656685169004849e-01,6.789857491627907526e-01,4.909849558489440824e-01
6.336390162567737128e-02,-1.028174699992353069e+01,-8.881388382111865099e+00,-6.605900579637047798e+00,-9.574107055534661015e+00,4.424192497585043293e-01,5.210286198824636283e-01,6.765748406161069539e-01,4.874967177338667135e-01
6.372655273030429501e-02,-1.019237679270577956e+01,-8.793082259816223711e+00,-6.522787266780632365e+00,-9.485941367731395957e+00,4.387067679536715836e-01,5.178237867314680054e-01,6.741942740412042445e-01,4.840406439263966742e-01
6.408920383493121875e-02,-1.010402898694196239e+01,-8.705813010634262383e+00,-6.440764004268666909e+00,-9.398811104520587989e+00,4.350265109656987761e-01,5.146507898816781168e-01,6.718436509470373519e-01,4.806163557540625852e-01
6.445185493955815637e-02,-1.001668648108120507e+01,-8.619563605519825700e+00,-6.359813623633069568e+00,-9.312699151469082892e+00,4.313781111205172714e-01,5.115092563977151618e-01,6.695225791387267034e-01,4.772234808222761693e-01
6.481450604418508010e-02,-9.930332557537468574e+00,-8.534317397851548748e+00,-6.279919298816160733e+00,-9.227588770108882343e+00,4.277612068763325670e-01,5.083988194504593938e-01,6.672306725854688647e-01,4.738616528748453849e-01
6.517715714881200384e-02,-9.844950871998882747e+00,-8.450058113289491857e+00,-6.201064591128655934e+00,-9.143463597959449629e+00,4.241754426863166838e-01,5.053191181802024756e-01,6.649675512882092798e-01,4.705305116576258273e-01
